number,value,params_lgbm__bagging_fraction,params_lgbm__feature_fraction,params_lgbm__learning_rate,params_lgbm__n_estimators,params_lgbm__num_leaves,params_logreg__C,params_model,params_rf__max_depth,params_rf__min_samples_split,params_rf__n_estimators,params_xgb__colsample_bytree,params_xgb__learning_rate,params_xgb__max_depth,params_xgb__n_estimators,params_xgb__subsample,user_attrs_f1,user_attrs_model_name,user_attrs_roc_auc,state
0,0.6691647055043775,,,,,,,rf,,2.0,100.0,,,,,,0.6119402985074627,rf,0.7951884637350086,COMPLETE
1,0.6124952856212613,0.7,0.8,0.1,600.0,31.0,,lgbm,,,,,,,,,0.6014319809069213,lgbm,0.7582041031498484,COMPLETE
2,0.6828664811962865,,,,,,,rf,12.0,5.0,300.0,,,,,,0.631578947368421,rf,0.8090871150551333,COMPLETE
3,0.6205751308832789,1.0,1.0,0.05,400.0,63.0,,lgbm,,,,,,,,,0.6004728132387707,lgbm,0.7646180204718183,COMPLETE
4,0.6534074710245938,0.7,0.8,0.03,200.0,15.0,,lgbm,,,,,,,,,0.6139088729016786,lgbm,0.7917893072090674,COMPLETE
5,0.6124952856212613,0.7,0.8,0.1,600.0,31.0,,lgbm,,,,,,,,,0.6014319809069213,lgbm,0.7582041031498484,COMPLETE
6,0.7071134278446662,,,,,,1.0,logreg,,,,,,,,,0.6442105263157895,logreg,0.8192241795896851,COMPLETE
7,0.7071134278446662,,,,,,1.0,logreg,,,,,,,,,0.6442105263157895,logreg,0.8192241795896851,COMPLETE
8,0.6800336069516111,,,,,,,rf,,10.0,500.0,,,,,,0.6436781609195402,rf,0.8123270219215393,COMPLETE
9,0.7077175803306226,,,,,,0.1,logreg,,,,,,,,,0.6454352441613588,logreg,0.8215415367043009,COMPLETE
10,0.6413166395715628,,,,,,,xgb,,,,1.0,0.1,3.0,200.0,0.7,0.6153846153846154,xgb,0.7825747924263058,COMPLETE
11,0.7077175803306226,,,,,,0.1,logreg,,,,,,,,,0.6454352441613588,logreg,0.8215415367043009,COMPLETE
12,0.7077175803306226,,,,,,0.1,logreg,,,,,,,,,0.6454352441613588,logreg,0.8215415367043009,COMPLETE
13,0.7077175803306226,,,,,,0.1,logreg,,,,,,,,,0.6454352441613588,logreg,0.8215415367043009,COMPLETE
14,0.7077175803306226,,,,,,0.1,logreg,,,,,,,,,0.6454352441613588,logreg,0.8215415367043009,COMPLETE
15,0.6351533156175462,,,,,,,xgb,,,,0.7,0.05,4.0,600.0,1.0,0.631578947368421,xgb,0.7760180995475114,COMPLETE
16,0.6981958596291122,,,,,,0.01,logreg,,,,,,,,,0.6496815286624203,logreg,0.8211132100338268,COMPLETE
17,0.7091889239243389,,,,,,10.0,logreg,,,,,,,,,0.6455696202531646,logreg,0.8191143522382814,COMPLETE
18,0.7091889239243389,,,,,,10.0,logreg,,,,,,,,,0.6455696202531646,logreg,0.8191143522382814,COMPLETE
19,0.6569889358715844,,,,,,,xgb,,,,0.8,0.03,5.0,400.0,0.8,0.6157517899761337,xgb,0.7895598119755745,COMPLETE
